#ID	Whisson2007
PHYALNI_000001-T1	neither
PHYALNI_000002-T1	neither
PHYALNI_000003-T1	neither
PHYALNI_000004-T1	neither
PHYALNI_000005-T1	neither
PHYALNI_000006-T1	neither
PHYALNI_000007-T1	neither
PHYALNI_000008-T1	neither
PHYALNI_000009-T1	neither
PHYALNI_000010-T1	neither
PHYALNI_000011-T1	neither
PHYALNI_000012-T1	neither
PHYALNI_000013-T1	neither
PHYALNI_000014-T1	neither
PHYALNI_000015-T1	neither
PHYALNI_000016-T1	Y
PHYALNI_000017-T1	neither
PHYALNI_000018-T1	neither
PHYALNI_000019-T1	neither
PHYALNI_000020-T1	neither
PHYALNI_000021-T1	neither
PHYALNI_000022-T1	neither
PHYALNI_000023-T1	neither
PHYALNI_000024-T1	neither
PHYALNI_000025-T1	neither
PHYALNI_000026-T1	neither
PHYALNI_000027-T1	neither
PHYALNI_000028-T1	neither
PHYALNI_000029-T1	neither
PHYALNI_000030-T1	neither
PHYALNI_000031-T1	neither
PHYALNI_000032-T1	neither
PHYALNI_000033-T1	neither
PHYALNI_000034-T1	neither
PHYALNI_000035-T1	neither
PHYALNI_000036-T1	neither
PHYALNI_000037-T1	neither
PHYALNI_000038-T1	neither
PHYALNI_000039-T1	neither
PHYALNI_000040-T1	neither
PHYALNI_000041-T1	neither
PHYALNI_000042-T1	neither
PHYALNI_000043-T1	neither
PHYALNI_000044-T1	neither
PHYALNI_000045-T1	neither
PHYALNI_000046-T1	neither
PHYALNI_000047-T1	neither
PHYALNI_000048-T1	neither
PHYALNI_000049-T1	neither
PHYALNI_000050-T1	neither
PHYALNI_000051-T1	neither
PHYALNI_000052-T1	neither
PHYALNI_000053-T1	neither
PHYALNI_000054-T1	neither
PHYALNI_000055-T1	neither
PHYALNI_000056-T1	neither
PHYALNI_000057-T1	neither
PHYALNI_000058-T1	neither
PHYALNI_000059-T1	neither
PHYALNI_000060-T1	neither
PHYALNI_000061-T1	neither
PHYALNI_000062-T1	neither
PHYALNI_000063-T1	neither
PHYALNI_000064-T1	neither
PHYALNI_000065-T1	neither
PHYALNI_000066-T1	neither
PHYALNI_000067-T1	neither
PHYALNI_000068-T1	neither
PHYALNI_000069-T1	neither
PHYALNI_000070-T1	neither
PHYALNI_000071-T1	neither
PHYALNI_000072-T1	neither
PHYALNI_000073-T1	neither
PHYALNI_000074-T1	neither
PHYALNI_000075-T1	neither
PHYALNI_000076-T1	neither
PHYALNI_000077-T1	neither
PHYALNI_000078-T1	neither
PHYALNI_000079-T1	neither
PHYALNI_000080-T1	neither
PHYALNI_000081-T1	neither
PHYALNI_000082-T1	neither
PHYALNI_000083-T1	neither
PHYALNI_000084-T1	neither
PHYALNI_000085-T1	neither
PHYALNI_000086-T1	neither
PHYALNI_000087-T1	neither
PHYALNI_000088-T1	neither
PHYALNI_000089-T1	neither
PHYALNI_000090-T1	neither
PHYALNI_000091-T1	neither
PHYALNI_000092-T1	neither
PHYALNI_000093-T1	neither
PHYALNI_000094-T1	neither
PHYALNI_000095-T1	neither
PHYALNI_000096-T1	neither
PHYALNI_000097-T1	neither
PHYALNI_000098-T1	neither
PHYALNI_000099-T1	neither
PHYALNI_000100-T1	neither
PHYALNI_000101-T1	neither
PHYALNI_000102-T1	neither
PHYALNI_000103-T1	neither
PHYALNI_000104-T1	neither
PHYALNI_000105-T1	neither
PHYALNI_000106-T1	neither
PHYALNI_000107-T1	neither
PHYALNI_000108-T1	neither
PHYALNI_000109-T1	neither
PHYALNI_000110-T1	neither
PHYALNI_000111-T1	neither
PHYALNI_000112-T1	neither
PHYALNI_000113-T1	neither
PHYALNI_000114-T1	neither
PHYALNI_000115-T1	neither
PHYALNI_000116-T1	neither
PHYALNI_000117-T1	neither
PHYALNI_000118-T1	neither
PHYALNI_000119-T1	neither
PHYALNI_000120-T1	neither
PHYALNI_000121-T1	neither
PHYALNI_000122-T1	neither
PHYALNI_000123-T1	neither
PHYALNI_000124-T1	neither
PHYALNI_000125-T1	neither
PHYALNI_000126-T1	neither
PHYALNI_000127-T1	neither
PHYALNI_000128-T1	neither
PHYALNI_000129-T1	neither
PHYALNI_000130-T1	neither
PHYALNI_000131-T1	neither
PHYALNI_000132-T1	neither
PHYALNI_000133-T1	neither
PHYALNI_000134-T1	neither
PHYALNI_000135-T1	neither
PHYALNI_000136-T1	neither
PHYALNI_000137-T1	neither
PHYALNI_000138-T1	neither
PHYALNI_000139-T1	neither
PHYALNI_000140-T1	neither
PHYALNI_000141-T1	neither
PHYALNI_000142-T1	neither
PHYALNI_000143-T1	neither
PHYALNI_000144-T1	neither
PHYALNI_000145-T1	neither
PHYALNI_000146-T1	neither
PHYALNI_000147-T1	neither
PHYALNI_000148-T1	neither
PHYALNI_000149-T1	neither
PHYALNI_000150-T1	neither
PHYALNI_000151-T1	neither
PHYALNI_000152-T1	neither
PHYALNI_000153-T1	neither
PHYALNI_000154-T1	neither
PHYALNI_000155-T1	neither
PHYALNI_000156-T1	neither
PHYALNI_000157-T1	neither
PHYALNI_000158-T1	neither
