#ID	Win2007
PHYBOEH_000001-T1	N
PHYBOEH_000002-T1	N
PHYBOEH_000003-T1	N
PHYBOEH_000004-T1	N
PHYBOEH_000005-T1	N
PHYBOEH_000006-T1	N
PHYBOEH_000007-T1	N
PHYBOEH_000008-T1	N
PHYBOEH_000009-T1	N
PHYBOEH_000010-T1	N
PHYBOEH_000011-T1	N
PHYBOEH_000012-T1	N
PHYBOEH_000013-T1	N
PHYBOEH_000014-T1	N
PHYBOEH_000015-T1	N
PHYBOEH_000016-T1	Y
PHYBOEH_000017-T1	N
PHYBOEH_000018-T1	N
PHYBOEH_000019-T1	N
PHYBOEH_000020-T1	N
PHYBOEH_000021-T1	N
PHYBOEH_000022-T1	N
PHYBOEH_000023-T1	N
PHYBOEH_000024-T1	N
PHYBOEH_000025-T1	N
PHYBOEH_000026-T1	N
PHYBOEH_000027-T1	N
PHYBOEH_000028-T1	N
PHYBOEH_000029-T1	N
PHYBOEH_000030-T1	N
PHYBOEH_000031-T1	N
PHYBOEH_000032-T1	N
PHYBOEH_000033-T1	N
PHYBOEH_000034-T1	N
PHYBOEH_000035-T1	N
PHYBOEH_000036-T1	N
PHYBOEH_000037-T1	N
PHYBOEH_000038-T1	N
PHYBOEH_000039-T1	N
PHYBOEH_000040-T1	N
PHYBOEH_000041-T1	N
PHYBOEH_000042-T1	N
PHYBOEH_000043-T1	N
PHYBOEH_000044-T1	N
PHYBOEH_000045-T1	N
PHYBOEH_000046-T1	N
PHYBOEH_000047-T1	N
PHYBOEH_000048-T1	N
PHYBOEH_000049-T1	N
PHYBOEH_000050-T1	N
PHYBOEH_000051-T1	N
PHYBOEH_000052-T1	N
PHYBOEH_000053-T1	N
PHYBOEH_000054-T1	N
PHYBOEH_000055-T1	N
PHYBOEH_000056-T1	N
PHYBOEH_000057-T1	N
PHYBOEH_000058-T1	N
PHYBOEH_000059-T1	N
PHYBOEH_000060-T1	N
PHYBOEH_000061-T1	N
PHYBOEH_000062-T1	N
PHYBOEH_000063-T1	N
PHYBOEH_000064-T1	N
PHYBOEH_000065-T1	N
PHYBOEH_000066-T1	N
PHYBOEH_000067-T1	N
PHYBOEH_000068-T1	N
PHYBOEH_000069-T1	N
PHYBOEH_000070-T1	N
PHYBOEH_000071-T1	N
PHYBOEH_000072-T1	N
PHYBOEH_000073-T1	N
PHYBOEH_000074-T1	N
PHYBOEH_000075-T1	N
PHYBOEH_000076-T1	N
PHYBOEH_000077-T1	N
PHYBOEH_000078-T1	N
PHYBOEH_000079-T1	N
PHYBOEH_000080-T1	N
PHYBOEH_000081-T1	N
PHYBOEH_000082-T1	N
PHYBOEH_000083-T1	N
PHYBOEH_000084-T1	N
PHYBOEH_000085-T1	N
PHYBOEH_000086-T1	N
PHYBOEH_000087-T1	N
PHYBOEH_000088-T1	Y
PHYBOEH_000089-T1	N
PHYBOEH_000090-T1	N
PHYBOEH_000091-T1	N
PHYBOEH_000092-T1	N
PHYBOEH_000093-T1	N
PHYBOEH_000094-T1	N
PHYBOEH_000095-T1	N
PHYBOEH_000096-T1	N
PHYBOEH_000097-T1	N
PHYBOEH_000098-T1	N
PHYBOEH_000099-T1	N
PHYBOEH_000100-T1	N
PHYBOEH_000101-T1	N
PHYBOEH_000102-T1	N
PHYBOEH_000103-T1	N
PHYBOEH_000104-T1	N
PHYBOEH_000105-T1	N
PHYBOEH_000106-T1	N
PHYBOEH_000107-T1	N
PHYBOEH_000108-T1	N
PHYBOEH_000109-T1	N
PHYBOEH_000110-T1	N
PHYBOEH_000111-T1	N
PHYBOEH_000112-T1	N
PHYBOEH_000113-T1	N
PHYBOEH_000114-T1	N
PHYBOEH_000115-T1	N
PHYBOEH_000116-T1	N
PHYBOEH_000117-T1	N
PHYBOEH_000118-T1	N
PHYBOEH_000119-T1	N
PHYBOEH_000120-T1	N
PHYBOEH_000121-T1	N
PHYBOEH_000122-T1	N
PHYBOEH_000123-T1	N
PHYBOEH_000124-T1	N
PHYBOEH_000125-T1	N
PHYBOEH_000126-T1	N
PHYBOEH_000127-T1	N
PHYBOEH_000128-T1	N
PHYBOEH_000129-T1	N
PHYBOEH_000130-T1	N
PHYBOEH_000131-T1	N
PHYBOEH_000132-T1	N
PHYBOEH_000133-T1	N
PHYBOEH_000134-T1	N
PHYBOEH_000135-T1	N
PHYBOEH_000136-T1	N
PHYBOEH_000137-T1	N
PHYBOEH_000138-T1	N
PHYBOEH_000139-T1	N
PHYBOEH_000140-T1	N
PHYBOEH_000141-T1	N
PHYBOEH_000142-T1	N
PHYBOEH_000143-T1	N
PHYBOEH_000144-T1	N
PHYBOEH_000145-T1	N
PHYBOEH_000146-T1	N
PHYBOEH_000147-T1	N
PHYBOEH_000148-T1	N
PHYBOEH_000149-T1	N
PHYBOEH_000150-T1	N
PHYBOEH_000151-T1	N
PHYBOEH_000152-T1	N
PHYBOEH_000153-T1	N
PHYBOEH_000154-T1	N
PHYBOEH_000155-T1	N
PHYBOEH_000156-T1	N
PHYBOEH_000157-T1	N
PHYBOEH_000158-T1	N
PHYBOEH_000159-T1	N
PHYBOEH_000160-T1	N
PHYBOEH_000161-T1	N
PHYBOEH_000162-T1	N
PHYBOEH_000163-T1	N
PHYBOEH_000164-T1	N
PHYBOEH_000165-T1	N
PHYBOEH_000166-T1	N
PHYBOEH_000167-T1	N
PHYBOEH_000168-T1	N
PHYBOEH_000169-T1	N
PHYBOEH_000170-T1	N
PHYBOEH_000171-T1	N
PHYBOEH_000172-T1	N
PHYBOEH_000173-T1	N
PHYBOEH_000174-T1	N
PHYBOEH_000175-T1	N
PHYBOEH_000176-T1	N
PHYBOEH_000177-T1	N
PHYBOEH_000178-T1	N
PHYBOEH_000179-T1	N
