# BUSCO version is: 2.0 
# The lineage dataset is: alveolata_stramenophiles_ensembl (Creation date: 2016-11-15, number of species: 24, number of BUSCOs: 234)
# To reproduce this run: python /home/linuxbrew/funannotate/util/funannotate-BUSCO2.py -i /home/linuxbrew/data/pgona/Phygonap/annotate_misc/genome.proteins.fasta -o busco -l /home/linuxbrew/data/databases/alveolata_stramenophiles/ -m proteins -c 16 -sp toxoplasma
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000000134	Complete	PHYGONAP_016919-T1	230.4	171
EPrGT00050000000260	Missing
EPrGT00050000000311	Complete	PHYGONAP_018055-T1	429.1	360
EPrGT00050000000320	Complete	PHYGONAP_014361-T1	177.5	112
EPrGT00050000000355	Missing
EPrGT00050000000367	Missing
EPrGT00050000000428	Complete	PHYGONAP_013809-T1	348.0	297
EPrGT00050000000439	Complete	PHYGONAP_001255-T1	406.7	310
EPrGT00050000000453	Complete	PHYGONAP_000684-T1	886.9	695
EPrGT00050000000506	Complete	PHYGONAP_014624-T1	1004.0	802
EPrGT00050000000516	Complete	PHYGONAP_020430-T1	373.8	334
EPrGT00050000000547	Complete	PHYGONAP_016006-T1	599.1	482
EPrGT00050000000567	Missing
EPrGT00050000000570	Complete	PHYGONAP_008503-T1	858.0	744
EPrGT00050000000590	Missing
EPrGT00050000000597	Complete	PHYGONAP_010276-T1	456.2	327
EPrGT00050000000633	Complete	PHYGONAP_021210-T1	538.9	591
EPrGT00050000000638	Complete	PHYGONAP_009500-T1	563.3	424
EPrGT00050000000648	Missing
EPrGT00050000000656	Missing
EPrGT00050000000676	Complete	PHYGONAP_014722-T1	638.8	530
EPrGT00050000000764	Complete	PHYGONAP_019886-T1	285.7	199
EPrGT00050000000788	Missing
EPrGT00050000000790	Complete	PHYGONAP_009058-T1	319.2	240
EPrGT00050000000820	Missing
EPrGT00050000000821	Complete	PHYGONAP_001771-T1	403.8	385
EPrGT00050000000845	Complete	PHYGONAP_023087-T1	230.0	161
EPrGT00050000000974	Complete	PHYGONAP_011657-T1	482.0	448
EPrGT00050000000978	Complete	PHYGONAP_022474-T1	781.7	627
EPrGT00050000001072	Complete	PHYGONAP_005590-T1	1109.1	779
EPrGT00050000001214	Complete	PHYGONAP_023391-T1	388.4	415
EPrGT00050000001261	Complete	PHYGONAP_022172-T1	410.4	213
EPrGT00050000001319	Missing
EPrGT00050000001321	Complete	PHYGONAP_008882-T1	631.1	535
EPrGT00050000001331	Complete	PHYGONAP_023133-T1	438.9	340
EPrGT00050000001368	Complete	PHYGONAP_010248-T1	662.0	603
EPrGT00050000001398	Complete	PHYGONAP_002407-T1	344.4	333
EPrGT00050000001406	Complete	PHYGONAP_003903-T1	433.5	384
EPrGT00050000001412	Missing
EPrGT00050000001435	Missing
EPrGT00050000001604	Complete	PHYGONAP_011615-T1	185.3	144
EPrGT00050000001796	Complete	PHYGONAP_019037-T1	277.9	261
EPrGT00050000001854	Duplicated	PHYGONAP_018346-T1	195.0	127
EPrGT00050000001854	Duplicated	PHYGONAP_023150-T1	166.6	127
EPrGT00050000001855	Complete	PHYGONAP_019492-T1	451.7	367
EPrGT00050000001885	Complete	PHYGONAP_008507-T1	344.3	251
EPrGT00050000001927	Complete	PHYGONAP_013707-T1	285.4	222
EPrGT00050000001937	Complete	PHYGONAP_012763-T1	978.3	1066
EPrGT00050000001969	Missing
EPrGT00050000002100	Duplicated	PHYGONAP_000774-T1	140.4	100
EPrGT00050000002100	Duplicated	PHYGONAP_010103-T1	140.4	100
EPrGT00050000002128	Complete	PHYGONAP_011074-T1	1855.8	1440
EPrGT00050000002142	Complete	PHYGONAP_001597-T1	270.4	199
EPrGT00050000002199	Complete	PHYGONAP_000027-T1	657.8	584
EPrGT00050000002214	Complete	PHYGONAP_000707-T1	1212.8	880
EPrGT00050000002291	Missing
EPrGT00050000002346	Complete	PHYGONAP_014359-T1	299.2	253
EPrGT00050000002389	Complete	PHYGONAP_019475-T1	216.8	193
EPrGT00050000002467	Complete	PHYGONAP_016683-T1	683.7	623
EPrGT00050000002494	Missing
EPrGT00050000002505	Duplicated	PHYGONAP_022667-T1	490.7	270
EPrGT00050000002505	Duplicated	PHYGONAP_023637-T1	490.7	270
EPrGT00050000002533	Complete	PHYGONAP_005055-T1	813.9	719
EPrGT00050000002690	Complete	PHYGONAP_007346-T1	303.7	318
EPrGT00050000002854	Complete	PHYGONAP_018801-T1	611.0	389
EPrGT00050000002860	Complete	PHYGONAP_013524-T1	471.4	353
EPrGT00050000002879	Missing
EPrGT00050000002887	Complete	PHYGONAP_001045-T1	381.4	258
EPrGT00050000002919	Complete	PHYGONAP_000986-T1	702.7	699
EPrGT00050000003007	Complete	PHYGONAP_001058-T1	282.7	197
EPrGT00050000003076	Complete	PHYGONAP_004037-T1	408.8	341
EPrGT00050000003113	Missing
EPrGT00050000003116	Complete	PHYGONAP_017711-T1	200.2	120
EPrGT00050000003119	Complete	PHYGONAP_021790-T1	244.8	170
EPrGT00050000003122	Complete	PHYGONAP_002314-T1	196.4	130
EPrGT00050000003160	Complete	PHYGONAP_009596-T1	783.2	751
EPrGT00050000003199	Complete	PHYGONAP_014775-T1	236.5	149
EPrGT00050000003237	Complete	PHYGONAP_013120-T1	159.2	87
EPrGT00050000003239	Missing
EPrGT00050000003303	Complete	PHYGONAP_019980-T1	301.9	254
EPrGT00050000003367	Missing
EPrGT00050000003390	Complete	PHYGONAP_023095-T1	510.0	403
EPrGT00050000003415	Complete	PHYGONAP_016642-T1	301.4	303
EPrGT00050000003569	Complete	PHYGONAP_005569-T1	614.6	475
EPrGT00050000003588	Complete	PHYGONAP_023964-T1	246.9	227
EPrGT00050000003615	Complete	PHYGONAP_014510-T1	1206.7	870
EPrGT00050000003620	Missing
EPrGT00050000003868	Complete	PHYGONAP_009430-T1	298.7	148
EPrGT00050000003931	Missing
EPrGT00050000003964	Complete	PHYGONAP_021192-T1	1021.7	544
EPrGT00050000004000	Complete	PHYGONAP_016589-T1	179.6	131
EPrGT00050000004027	Missing
EPrGT00050000004090	Complete	PHYGONAP_004841-T1	958.3	700
EPrGT00050000004139	Fragmented	PHYGONAP_009409-T1	532.5	266
EPrGT00050000004141	Complete	PHYGONAP_010420-T1	1670.8	920
EPrGT00050000004155	Complete	PHYGONAP_015403-T1	402.7	387
EPrGT00050000004169	Complete	PHYGONAP_014339-T1	289.4	194
EPrGT00050000004171	Missing
EPrGT00050000004283	Complete	PHYGONAP_004992-T1	757.7	551
EPrGT00050000004299	Complete	PHYGONAP_020980-T1	367.6	331
EPrGT00050000004324	Complete	PHYGONAP_019390-T1	166.3	96
EPrGT00050000004348	Complete	PHYGONAP_013005-T1	232.3	154
EPrGT00050000004425	Complete	PHYGONAP_003617-T1	663.4	445
EPrGT00050000004725	Complete	PHYGONAP_015220-T1	372.8	291
EPrGT00050000004757	Complete	PHYGONAP_015419-T1	516.2	414
EPrGT00050000004774	Missing
EPrGT00050000004785	Missing
EPrGT00050000004860	Complete	PHYGONAP_015905-T1	542.5	401
EPrGT00050000004932	Fragmented	PHYGONAP_015822-T1	255.3	136
EPrGT00050000005003	Complete	PHYGONAP_023043-T1	343.9	202
EPrGT00050000005020	Missing
EPrGT00050000005029	Complete	PHYGONAP_015704-T1	341.3	259
EPrGT00050000005111	Complete	PHYGONAP_019123-T1	216.7	116
EPrGT00050000005128	Complete	PHYGONAP_005552-T1	238.9	157
EPrGT00050000005144	Missing
EPrGT00050000005163	Complete	PHYGONAP_004019-T1	153.1	109
EPrGT00050000005176	Complete	PHYGONAP_013166-T1	203.4	153
EPrGT00050000005182	Complete	PHYGONAP_019190-T1	160.9	98
EPrGT00050000005194	Complete	PHYGONAP_016288-T1	277.1	197
EPrGT00050000005202	Complete	PHYGONAP_013669-T1	117.0	97
EPrGT00050000005212	Complete	PHYGONAP_013366-T1	197.5	138
EPrGT00050000005290	Complete	PHYGONAP_003764-T1	382.5	232
EPrGT00050000005304	Complete	PHYGONAP_017310-T1	339.6	300
EPrGT00050000005330	Complete	PHYGONAP_013119-T1	243.7	202
EPrGT00050000005332	Complete	PHYGONAP_006155-T1	356.8	203
EPrGT00050000005339	Complete	PHYGONAP_002008-T1	230.7	148
EPrGT00050000005359	Complete	PHYGONAP_018929-T1	182.9	133
EPrGT00050000005370	Complete	PHYGONAP_023788-T1	500.5	396
EPrGT00050000005384	Complete	PHYGONAP_007815-T1	139.3	75
EPrGT00050000005385	Complete	PHYGONAP_000657-T1	410.6	302
EPrGT00050000005427	Complete	PHYGONAP_014042-T1	277.5	167
EPrGT00050000005439	Complete	PHYGONAP_006965-T1	278.8	195
EPrGT00050000005459	Complete	PHYGONAP_020211-T1	165.5	92
EPrGT00050000005482	Missing
EPrGT00050000005485	Missing
EPrGT00050000005498	Complete	PHYGONAP_021193-T1	218.9	118
EPrGT00050000005502	Missing
EPrGT00050000005514	Complete	PHYGONAP_014443-T1	411.6	274
EPrGT00050000005516	Complete	PHYGONAP_004428-T1	225.8	182
EPrGT00050000005533	Complete	PHYGONAP_004586-T1	358.8	226
EPrGT00050000005557	Missing
EPrGT00050000005562	Complete	PHYGONAP_002070-T1	192.3	115
EPrGT00050000005579	Complete	PHYGONAP_008710-T1	403.4	205
EPrGT00050000005612	Missing
EPrGT00050000005623	Missing
EPrGT00050000005628	Complete	PHYGONAP_013769-T1	169.9	122
EPrGT00050000005659	Complete	PHYGONAP_009258-T1	252.7	197
EPrGT00050000005670	Missing
EPrGT00050000005683	Complete	PHYGONAP_012716-T1	135.7	77
EPrGT00050000005687	Complete	PHYGONAP_008445-T1	198.0	111
EPrGT00050000005712	Missing
EPrGT00050000005714	Complete	PHYGONAP_020068-T1	179.7	152
EPrGT00050000005721	Complete	PHYGONAP_010484-T1	388.4	268
EPrGT00050000005732	Complete	PHYGONAP_005790-T1	441.1	236
EPrGT00050000005743	Fragmented	PHYGONAP_020981-T1	282.7	186
EPrGT00050000005755	Complete	PHYGONAP_017573-T1	146.3	66
EPrGT00050000005769	Complete	PHYGONAP_011982-T1	222.9	147
EPrGT00050000005783	Complete	PHYGONAP_005097-T1	177.1	164
EPrGT00050000005798	Missing
EPrGT00050000005800	Complete	PHYGONAP_015726-T1	745.0	557
EPrGT00050000005808	Missing
EPrGT00050000005815	Complete	PHYGONAP_022449-T1	615.1	472
EPrGT00050000005840	Complete	PHYGONAP_005266-T1	222.6	153
EPrGT00050000005847	Complete	PHYGONAP_016217-T1	166.5	140
EPrGT00050000005852	Complete	PHYGONAP_020245-T1	152.2	98
