#ID	Bhattacharjee2006
PHYALNI_000001-T1	N
PHYALNI_000002-T1	N
PHYALNI_000003-T1	N
PHYALNI_000004-T1	N
PHYALNI_000005-T1	N
PHYALNI_000006-T1	N
PHYALNI_000007-T1	N
PHYALNI_000008-T1	N
PHYALNI_000009-T1	N
PHYALNI_000010-T1	N
PHYALNI_000011-T1	N
PHYALNI_000012-T1	N
PHYALNI_000013-T1	N
PHYALNI_000014-T1	N
PHYALNI_000015-T1	N
PHYALNI_000016-T1	Y
PHYALNI_000017-T1	N
PHYALNI_000018-T1	N
PHYALNI_000019-T1	N
PHYALNI_000020-T1	N
PHYALNI_000021-T1	N
PHYALNI_000022-T1	N
PHYALNI_000023-T1	N
PHYALNI_000024-T1	N
PHYALNI_000025-T1	N
PHYALNI_000026-T1	N
PHYALNI_000027-T1	N
PHYALNI_000028-T1	N
PHYALNI_000029-T1	N
PHYALNI_000030-T1	N
PHYALNI_000031-T1	N
PHYALNI_000032-T1	N
PHYALNI_000033-T1	N
PHYALNI_000034-T1	N
PHYALNI_000035-T1	N
PHYALNI_000036-T1	N
PHYALNI_000037-T1	N
PHYALNI_000038-T1	N
PHYALNI_000039-T1	N
PHYALNI_000040-T1	N
PHYALNI_000041-T1	N
PHYALNI_000042-T1	N
PHYALNI_000043-T1	N
PHYALNI_000044-T1	N
PHYALNI_000045-T1	N
PHYALNI_000046-T1	N
PHYALNI_000047-T1	N
PHYALNI_000048-T1	N
PHYALNI_000049-T1	N
PHYALNI_000050-T1	N
PHYALNI_000051-T1	N
PHYALNI_000052-T1	N
PHYALNI_000053-T1	N
PHYALNI_000054-T1	N
PHYALNI_000055-T1	N
PHYALNI_000056-T1	N
PHYALNI_000057-T1	N
PHYALNI_000058-T1	N
PHYALNI_000059-T1	N
PHYALNI_000060-T1	N
PHYALNI_000061-T1	N
PHYALNI_000062-T1	N
PHYALNI_000063-T1	N
PHYALNI_000064-T1	N
PHYALNI_000065-T1	N
PHYALNI_000066-T1	N
PHYALNI_000067-T1	N
PHYALNI_000068-T1	N
PHYALNI_000069-T1	N
PHYALNI_000070-T1	N
PHYALNI_000071-T1	N
PHYALNI_000072-T1	N
PHYALNI_000073-T1	N
PHYALNI_000074-T1	N
PHYALNI_000075-T1	N
PHYALNI_000076-T1	N
PHYALNI_000077-T1	N
PHYALNI_000078-T1	N
PHYALNI_000079-T1	N
PHYALNI_000080-T1	N
PHYALNI_000081-T1	N
PHYALNI_000082-T1	N
PHYALNI_000083-T1	N
PHYALNI_000084-T1	N
PHYALNI_000085-T1	N
PHYALNI_000086-T1	N
PHYALNI_000087-T1	N
PHYALNI_000088-T1	Y
PHYALNI_000089-T1	N
PHYALNI_000090-T1	N
PHYALNI_000091-T1	N
PHYALNI_000092-T1	N
PHYALNI_000093-T1	N
PHYALNI_000094-T1	N
PHYALNI_000095-T1	N
PHYALNI_000096-T1	N
PHYALNI_000097-T1	N
PHYALNI_000098-T1	N
PHYALNI_000099-T1	N
PHYALNI_000100-T1	N
PHYALNI_000101-T1	N
PHYALNI_000102-T1	N
PHYALNI_000103-T1	N
PHYALNI_000104-T1	N
PHYALNI_000105-T1	N
PHYALNI_000106-T1	N
PHYALNI_000107-T1	N
PHYALNI_000108-T1	N
PHYALNI_000109-T1	N
PHYALNI_000110-T1	N
PHYALNI_000111-T1	N
PHYALNI_000112-T1	N
PHYALNI_000113-T1	N
PHYALNI_000114-T1	N
PHYALNI_000115-T1	N
PHYALNI_000116-T1	N
PHYALNI_000117-T1	N
PHYALNI_000118-T1	N
PHYALNI_000119-T1	N
PHYALNI_000120-T1	N
PHYALNI_000121-T1	N
PHYALNI_000122-T1	N
PHYALNI_000123-T1	N
PHYALNI_000124-T1	N
PHYALNI_000125-T1	N
PHYALNI_000126-T1	N
PHYALNI_000127-T1	N
PHYALNI_000128-T1	N
PHYALNI_000129-T1	N
PHYALNI_000130-T1	N
PHYALNI_000131-T1	N
PHYALNI_000132-T1	N
PHYALNI_000133-T1	N
PHYALNI_000134-T1	N
PHYALNI_000135-T1	N
PHYALNI_000136-T1	N
PHYALNI_000137-T1	N
PHYALNI_000138-T1	N
PHYALNI_000139-T1	N
PHYALNI_000140-T1	N
PHYALNI_000141-T1	N
PHYALNI_000142-T1	N
PHYALNI_000143-T1	N
PHYALNI_000144-T1	N
PHYALNI_000145-T1	N
PHYALNI_000146-T1	N
PHYALNI_000147-T1	N
PHYALNI_000148-T1	N
PHYALNI_000149-T1	N
PHYALNI_000150-T1	N
PHYALNI_000151-T1	N
PHYALNI_000152-T1	N
PHYALNI_000153-T1	N
PHYALNI_000154-T1	N
PHYALNI_000155-T1	N
PHYALNI_000156-T1	N
PHYALNI_000157-T1	N
PHYALNI_000158-T1	N
PHYALNI_000159-T1	N
PHYALNI_000160-T1	N
PHYALNI_000161-T1	N
PHYALNI_000162-T1	N
PHYALNI_000163-T1	N
PHYALNI_000164-T1	N
PHYALNI_000165-T1	N
PHYALNI_000166-T1	N
PHYALNI_000167-T1	N
PHYALNI_000168-T1	N
PHYALNI_000169-T1	N
PHYALNI_000170-T1	N
PHYALNI_000171-T1	N
PHYALNI_000172-T1	N
PHYALNI_000173-T1	N
PHYALNI_000174-T1	N
PHYALNI_000175-T1	N
PHYALNI_000176-T1	N
PHYALNI_000177-T1	N
PHYALNI_000178-T1	N
PHYALNI_000179-T1	N
PHYALNI_000180-T1	N
PHYALNI_000181-T1	N
PHYALNI_000182-T1	N
PHYALNI_000183-T1	N
PHYALNI_000184-T1	N
PHYALNI_000185-T1	N
PHYALNI_000186-T1	N
PHYALNI_000187-T1	N
PHYALNI_000188-T1	N
PHYALNI_000189-T1	N
PHYALNI_000190-T1	N
PHYALNI_000191-T1	N
PHYALNI_000192-T1	N
PHYALNI_000193-T1	N
PHYALNI_000194-T1	N
PHYALNI_000195-T1	N
PHYALNI_000196-T1	N
PHYALNI_000197-T1	N
PHYALNI_000198-T1	N
PHYALNI_000199-T1	N
PHYALNI_000200-T1	N
PHYALNI_000204-T1	N
PHYALNI_000205-T1	N
PHYALNI_000206-T1	N
PHYALNI_000207-T1	N
PHYALNI_000208-T1	N
PHYALNI_000209-T1	N
PHYALNI_000210-T1	N
PHYALNI_000211-T1	N
PHYALNI_000212-T1	N
PHYALNI_000213-T1	N
PHYALNI_000214-T1	N
PHYALNI_000215-T1	N
PHYALNI_000216-T1	N
PHYALNI_000217-T1	N
PHYALNI_000218-T1	N
PHYALNI_000219-T1	N
PHYALNI_000220-T1	N
PHYALNI_000221-T1	N
PHYALNI_000222-T1	N
PHYALNI_000223-T1	N
PHYALNI_000224-T1	N
PHYALNI_000225-T1	N
PHYALNI_000226-T1	N
PHYALNI_000227-T1	N
PHYALNI_000228-T1	N
PHYALNI_000229-T1	N
PHYALNI_000230-T1	N
PHYALNI_000231-T1	N
PHYALNI_000232-T1	N
PHYALNI_000233-T1	N
PHYALNI_000234-T1	N
PHYALNI_000235-T1	N
PHYALNI_000236-T1	N
PHYALNI_000237-T1	N
PHYALNI_000238-T1	N
PHYALNI_000239-T1	N
PHYALNI_000240-T1	N
PHYALNI_000241-T1	N
PHYALNI_000242-T1	N
PHYALNI_000243-T1	N
PHYALNI_000244-T1	N
PHYALNI_000245-T1	N
PHYALNI_000246-T1	N
PHYALNI_000247-T1	N
PHYALNI_000248-T1	Y
PHYALNI_000249-T1	N
PHYALNI_000250-T1	N
PHYALNI_000251-T1	N
PHYALNI_000252-T1	N
PHYALNI_000253-T1	N
PHYALNI_000254-T1	N
PHYALNI_000256-T1	N
PHYALNI_000257-T1	N
PHYALNI_000258-T1	N
PHYALNI_000259-T1	N
PHYALNI_000260-T1	N
PHYALNI_000261-T1	Y
PHYALNI_000262-T1	N
PHYALNI_000263-T1	N
PHYALNI_000264-T1	N
PHYALNI_000265-T1	N
PHYALNI_000266-T1	N
PHYALNI_000267-T1	N
PHYALNI_000268-T1	N
PHYALNI_000269-T1	N
PHYALNI_000270-T1	N
PHYALNI_000271-T1	N
PHYALNI_000272-T1	N
PHYALNI_000273-T1	N
PHYALNI_000274-T1	N
PHYALNI_000275-T1	N
PHYALNI_000276-T1	N
PHYALNI_000277-T1	N
PHYALNI_000278-T1	N
PHYALNI_000279-T1	N
PHYALNI_000280-T1	N
PHYALNI_000281-T1	N
PHYALNI_000282-T1	N
PHYALNI_000283-T1	N
PHYALNI_000284-T1	N
PHYALNI_000285-T1	N
PHYALNI_000286-T1	N
PHYALNI_000287-T1	N
PHYALNI_000288-T1	N
PHYALNI_000289-T1	N
PHYALNI_000290-T1	N
PHYALNI_000291-T1	N
PHYALNI_000292-T1	N
PHYALNI_000293-T1	N
PHYALNI_000294-T1	N
PHYALNI_000295-T1	N
