# BUSCO version is: 2.0 
# The lineage dataset is: alveolata_stramenophiles_ensembl (Creation date: 2016-11-15, number of species: 24, number of BUSCOs: 234)
# To reproduce this run: python /home/linuxbrew/funannotate/util/funannotate-BUSCO2.py -i /home/linuxbrew/data/ppsue/ppsue/annotate_misc/genome.proteins.fasta -o busco -l /home/linuxbrew/data/databases/alveolata_stramenophiles/ -m proteins -c 4 -sp toxoplasma
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Complete	PHYSUEDO_007884-T1	295.3	248
EPrGT00050000000134	Complete	PHYSUEDO_006205-T1	228.5	168
EPrGT00050000000260	Complete	PHYSUEDO_002378-T1	603.0	430
EPrGT00050000000311	Complete	PHYSUEDO_003130-T1	508.1	424
EPrGT00050000000320	Complete	PHYSUEDO_003626-T1	174.4	112
EPrGT00050000000355	Complete	PHYSUEDO_011625-T1	735.6	657
EPrGT00050000000367	Complete	PHYSUEDO_007494-T1	649.1	565
EPrGT00050000000428	Complete	PHYSUEDO_000604-T1	341.5	293
EPrGT00050000000439	Complete	PHYSUEDO_013511-T1	377.2	277
EPrGT00050000000453	Complete	PHYSUEDO_000870-T1	887.1	699
EPrGT00050000000506	Complete	PHYSUEDO_001103-T1	1017.6	832
EPrGT00050000000516	Complete	PHYSUEDO_012880-T1	375.9	332
EPrGT00050000000547	Complete	PHYSUEDO_010105-T1	608.1	486
EPrGT00050000000567	Complete	PHYSUEDO_003859-T1	251.2	228
EPrGT00050000000570	Complete	PHYSUEDO_000141-T1	856.8	763
EPrGT00050000000590	Complete	PHYSUEDO_006939-T1	499.2	361
EPrGT00050000000597	Complete	PHYSUEDO_008912-T1	452.3	328
EPrGT00050000000633	Complete	PHYSUEDO_008145-T1	540.5	612
EPrGT00050000000638	Complete	PHYSUEDO_014747-T1	558.1	423
EPrGT00050000000648	Complete	PHYSUEDO_012516-T1	717.9	660
EPrGT00050000000656	Missing
EPrGT00050000000676	Complete	PHYSUEDO_015598-T1	625.5	530
EPrGT00050000000764	Complete	PHYSUEDO_011092-T1	283.2	196
EPrGT00050000000788	Duplicated	PHYSUEDO_000782-T1	294.9	202
EPrGT00050000000788	Duplicated	PHYSUEDO_010832-T1	313.7	211
EPrGT00050000000790	Complete	PHYSUEDO_001044-T1	318.7	240
EPrGT00050000000820	Complete	PHYSUEDO_009704-T1	648.6	474
