#ID	Whisson2007
PHYSUEDO_000001-T1	neither
PHYSUEDO_000002-T1	neither
PHYSUEDO_000003-T1	neither
PHYSUEDO_000004-T1	neither
PHYSUEDO_000005-T1	neither
PHYSUEDO_000006-T1	neither
PHYSUEDO_000007-T1	neither
PHYSUEDO_000008-T1	neither
PHYSUEDO_000009-T1	neither
PHYSUEDO_000010-T1	neither
PHYSUEDO_000011-T1	neither
PHYSUEDO_000012-T1	neither
PHYSUEDO_000013-T1	neither
PHYSUEDO_000014-T1	neither
PHYSUEDO_000015-T1	neither
PHYSUEDO_000016-T1	neither
PHYSUEDO_000017-T1	neither
PHYSUEDO_000018-T1	neither
PHYSUEDO_000019-T1	neither
PHYSUEDO_000020-T1	neither
PHYSUEDO_000021-T1	neither
PHYSUEDO_000022-T1	neither
PHYSUEDO_000023-T1	neither
PHYSUEDO_000024-T1	neither
PHYSUEDO_000025-T1	neither
PHYSUEDO_000026-T1	neither
PHYSUEDO_000027-T1	neither
PHYSUEDO_000028-T1	neither
PHYSUEDO_000029-T1	neither
PHYSUEDO_000030-T1	neither
PHYSUEDO_000031-T1	neither
PHYSUEDO_000032-T1	neither
PHYSUEDO_000033-T1	neither
PHYSUEDO_000034-T1	neither
PHYSUEDO_000035-T1	neither
PHYSUEDO_000036-T1	neither
PHYSUEDO_000037-T1	neither
PHYSUEDO_000038-T1	neither
PHYSUEDO_000039-T1	neither
PHYSUEDO_000040-T1	neither
PHYSUEDO_000041-T1	neither
PHYSUEDO_000042-T1	neither
PHYSUEDO_000043-T1	neither
PHYSUEDO_000044-T1	neither
PHYSUEDO_000045-T1	neither
PHYSUEDO_000046-T1	neither
PHYSUEDO_000047-T1	neither
PHYSUEDO_000048-T1	neither
PHYSUEDO_000049-T1	neither
PHYSUEDO_000050-T1	neither
PHYSUEDO_000051-T1	neither
PHYSUEDO_000052-T1	neither
PHYSUEDO_000053-T1	neither
PHYSUEDO_000054-T1	neither
PHYSUEDO_000055-T1	neither
PHYSUEDO_000056-T1	neither
PHYSUEDO_000057-T1	neither
PHYSUEDO_000058-T1	neither
PHYSUEDO_000059-T1	neither
PHYSUEDO_000060-T1	neither
PHYSUEDO_000061-T1	neither
PHYSUEDO_000062-T1	neither
PHYSUEDO_000063-T1	neither
PHYSUEDO_000064-T1	neither
PHYSUEDO_000065-T1	neither
PHYSUEDO_000066-T1	neither
PHYSUEDO_000067-T1	neither
PHYSUEDO_000068-T1	neither
PHYSUEDO_000069-T1	neither
PHYSUEDO_000070-T1	neither
PHYSUEDO_000071-T1	neither
PHYSUEDO_000072-T1	neither
PHYSUEDO_000073-T1	neither
PHYSUEDO_000074-T1	neither
PHYSUEDO_000075-T1	neither
PHYSUEDO_000076-T1	neither
PHYSUEDO_000077-T1	neither
PHYSUEDO_000078-T1	neither
PHYSUEDO_000079-T1	neither
PHYSUEDO_000080-T1	neither
PHYSUEDO_000081-T1	neither
PHYSUEDO_000082-T1	neither
PHYSUEDO_000083-T1	neither
PHYSUEDO_000084-T1	neither
PHYSUEDO_000085-T1	neither
PHYSUEDO_000086-T1	neither
PHYSUEDO_000087-T1	neither
PHYSUEDO_000088-T1	neither
PHYSUEDO_000089-T1	neither
PHYSUEDO_000090-T1	neither
PHYSUEDO_000091-T1	neither
PHYSUEDO_000092-T1	neither
PHYSUEDO_000093-T1	neither
PHYSUEDO_000094-T1	neither
PHYSUEDO_000095-T1	neither
PHYSUEDO_000096-T1	neither
PHYSUEDO_000097-T1	neither
PHYSUEDO_000098-T1	neither
PHYSUEDO_000099-T1	neither
PHYSUEDO_000100-T1	neither
PHYSUEDO_000101-T1	neither
PHYSUEDO_000102-T1	neither
PHYSUEDO_000103-T1	neither
PHYSUEDO_000104-T1	neither
PHYSUEDO_000105-T1	neither
PHYSUEDO_000106-T1	neither
PHYSUEDO_000107-T1	neither
PHYSUEDO_000108-T1	neither
PHYSUEDO_000109-T1	neither
PHYSUEDO_000110-T1	neither
PHYSUEDO_000111-T1	neither
PHYSUEDO_000112-T1	neither
PHYSUEDO_000113-T1	neither
PHYSUEDO_000114-T1	neither
PHYSUEDO_000115-T1	neither
PHYSUEDO_000116-T1	neither
PHYSUEDO_000117-T1	neither
PHYSUEDO_000118-T1	neither
PHYSUEDO_000119-T1	neither
PHYSUEDO_000120-T1	neither
PHYSUEDO_000121-T1	neither
PHYSUEDO_000122-T1	neither
PHYSUEDO_000123-T1	neither
PHYSUEDO_000124-T1	neither
PHYSUEDO_000125-T1	neither
PHYSUEDO_000126-T1	neither
PHYSUEDO_000127-T1	neither
PHYSUEDO_000128-T1	neither
PHYSUEDO_000129-T1	neither
PHYSUEDO_000130-T1	neither
PHYSUEDO_000131-T1	neither
PHYSUEDO_000132-T1	neither
PHYSUEDO_000133-T1	neither
PHYSUEDO_000134-T1	neither
PHYSUEDO_000135-T1	neither
PHYSUEDO_000136-T1	neither
PHYSUEDO_000137-T1	neither
PHYSUEDO_000138-T1	neither
PHYSUEDO_000139-T1	neither
PHYSUEDO_000140-T1	neither
PHYSUEDO_000141-T1	neither
PHYSUEDO_000142-T1	neither
PHYSUEDO_000143-T1	neither
PHYSUEDO_000144-T1	neither
PHYSUEDO_000145-T1	neither
PHYSUEDO_000146-T1	neither
PHYSUEDO_000147-T1	neither
PHYSUEDO_000148-T1	neither
PHYSUEDO_000149-T1	neither
PHYSUEDO_000150-T1	neither
PHYSUEDO_000151-T1	neither
PHYSUEDO_000152-T1	neither
PHYSUEDO_000153-T1	neither
PHYSUEDO_000154-T1	neither
PHYSUEDO_000155-T1	neither
PHYSUEDO_000156-T1	neither
PHYSUEDO_000157-T1	neither
PHYSUEDO_000158-T1	neither
PHYSUEDO_000159-T1	neither
PHYSUEDO_000160-T1	neither
PHYSUEDO_000161-T1	neither
PHYSUEDO_000162-T1	neither
PHYSUEDO_000163-T1	neither
PHYSUEDO_000164-T1	neither
PHYSUEDO_000165-T1	neither
PHYSUEDO_000166-T1	neither
PHYSUEDO_000167-T1	neither
PHYSUEDO_000168-T1	neither
PHYSUEDO_000169-T1	neither
PHYSUEDO_000170-T1	neither
PHYSUEDO_000171-T1	neither
PHYSUEDO_000172-T1	neither
PHYSUEDO_000173-T1	neither
PHYSUEDO_000174-T1	neither
PHYSUEDO_000175-T1	neither
PHYSUEDO_000176-T1	neither
PHYSUEDO_000177-T1	neither
PHYSUEDO_000178-T1	neither
PHYSUEDO_000179-T1	neither
PHYSUEDO_000180-T1	neither
PHYSUEDO_000181-T1	neither
PHYSUEDO_000182-T1	neither
PHYSUEDO_000183-T1	neither
PHYSUEDO_000184-T1	neither
PHYSUEDO_000185-T1	neither
PHYSUEDO_000186-T1	neither
PHYSUEDO_000187-T1	neither
PHYSUEDO_000188-T1	neither
PHYSUEDO_000189-T1	neither
PHYSUEDO_000190-T1	neither
PHYSUEDO_000191-T1	neither
PHYSUEDO_000192-T1	neither
PHYSUEDO_000193-T1	neither
PHYSUEDO_000194-T1	neither
PHYSUEDO_000195-T1	neither
PHYSUEDO_000196-T1	neither
PHYSUEDO_000197-T1	neither
PHYSUEDO_000198-T1	neither
PHYSUEDO_000199-T1	neither
PHYSUEDO_000200-T1	neither
PHYSUEDO_000201-T1	neither
PHYSUEDO_000202-T1	neither
PHYSUEDO_000203-T1	neither
PHYSUEDO_000204-T1	neither
PHYSUEDO_000205-T1	neither
PHYSUEDO_000206-T1	neither
PHYSUEDO_000207-T1	neither
PHYSUEDO_000208-T1	neither
PHYSUEDO_000209-T1	neither
PHYSUEDO_000210-T1	neither
PHYSUEDO_000211-T1	neither
PHYSUEDO_000212-T1	neither
PHYSUEDO_000213-T1	neither
PHYSUEDO_000214-T1	neither
PHYSUEDO_000215-T1	neither
PHYSUEDO_000216-T1	neither
PHYSUEDO_000217-T1	neither
PHYSUEDO_000218-T1	neither
PHYSUEDO_000219-T1	neither
PHYSUEDO_000220-T1	neither
PHYSUEDO_000221-T1	neither
PHYSUEDO_000222-T1	neither
PHYSUEDO_000223-T1	neither
PHYSUEDO_000224-T1	neither
PHYSUEDO_000225-T1	neither
PHYSUEDO_000226-T1	neither
PHYSUEDO_000227-T1	neither
PHYSUEDO_000228-T1	neither
PHYSUEDO_000229-T1	neither
PHYSUEDO_000230-T1	neither
PHYSUEDO_000231-T1	neither
PHYSUEDO_000232-T1	neither
PHYSUEDO_000233-T1	neither
PHYSUEDO_000234-T1	neither
PHYSUEDO_000235-T1	neither
PHYSUEDO_000236-T1	neither
PHYSUEDO_000237-T1	neither
PHYSUEDO_000238-T1	neither
PHYSUEDO_000239-T1	neither
PHYSUEDO_000240-T1	neither
PHYSUEDO_000241-T1	neither
PHYSUEDO_000242-T1	neither
PHYSUEDO_000243-T1	neither
PHYSUEDO_000244-T1	neither
PHYSUEDO_000245-T1	neither
PHYSUEDO_000246-T1	neither
PHYSUEDO_000247-T1	neither
PHYSUEDO_000248-T1	neither
PHYSUEDO_000249-T1	neither
PHYSUEDO_000250-T1	neither
PHYSUEDO_000251-T1	neither
PHYSUEDO_000252-T1	neither
PHYSUEDO_000253-T1	neither
PHYSUEDO_000254-T1	neither
PHYSUEDO_000255-T1	neither
PHYSUEDO_000256-T1	neither
PHYSUEDO_000257-T1	neither
PHYSUEDO_000258-T1	neither
PHYSUEDO_000259-T1	neither
PHYSUEDO_000260-T1	neither
PHYSUEDO_000261-T1	neither
PHYSUEDO_000262-T1	neither
PHYSUEDO_000263-T1	neither
PHYSUEDO_000264-T1	neither
PHYSUEDO_000265-T1	neither
PHYSUEDO_000266-T1	neither
PHYSUEDO_000267-T1	neither
PHYSUEDO_000268-T1	neither
PHYSUEDO_000269-T1	neither
PHYSUEDO_000270-T1	neither
PHYSUEDO_000271-T1	neither
PHYSUEDO_000272-T1	neither
PHYSUEDO_000273-T1	neither
PHYSUEDO_000274-T1	neither
