#ID	Whisson2007
PHYBOEH_000001-T1	neither
PHYBOEH_000002-T1	neither
PHYBOEH_000003-T1	neither
PHYBOEH_000004-T1	neither
PHYBOEH_000005-T1	neither
PHYBOEH_000006-T1	neither
PHYBOEH_000007-T1	neither
PHYBOEH_000008-T1	neither
PHYBOEH_000009-T1	neither
PHYBOEH_000010-T1	neither
PHYBOEH_000011-T1	neither
PHYBOEH_000012-T1	neither
PHYBOEH_000013-T1	neither
PHYBOEH_000014-T1	neither
PHYBOEH_000015-T1	neither
PHYBOEH_000016-T1	Y
PHYBOEH_000017-T1	neither
PHYBOEH_000018-T1	neither
PHYBOEH_000019-T1	neither
PHYBOEH_000020-T1	neither
PHYBOEH_000021-T1	neither
PHYBOEH_000022-T1	neither
PHYBOEH_000023-T1	neither
PHYBOEH_000024-T1	neither
PHYBOEH_000025-T1	neither
PHYBOEH_000026-T1	neither
PHYBOEH_000027-T1	neither
PHYBOEH_000028-T1	neither
PHYBOEH_000029-T1	neither
PHYBOEH_000030-T1	neither
PHYBOEH_000031-T1	neither
PHYBOEH_000032-T1	neither
PHYBOEH_000033-T1	neither
PHYBOEH_000034-T1	neither
PHYBOEH_000035-T1	neither
PHYBOEH_000036-T1	neither
PHYBOEH_000037-T1	neither
PHYBOEH_000038-T1	neither
PHYBOEH_000039-T1	neither
PHYBOEH_000040-T1	neither
PHYBOEH_000041-T1	neither
PHYBOEH_000042-T1	neither
PHYBOEH_000043-T1	neither
PHYBOEH_000044-T1	neither
PHYBOEH_000045-T1	neither
PHYBOEH_000046-T1	neither
PHYBOEH_000047-T1	neither
PHYBOEH_000048-T1	neither
PHYBOEH_000049-T1	neither
PHYBOEH_000050-T1	neither
PHYBOEH_000051-T1	neither
PHYBOEH_000052-T1	neither
PHYBOEH_000053-T1	neither
PHYBOEH_000054-T1	neither
PHYBOEH_000055-T1	neither
PHYBOEH_000056-T1	neither
PHYBOEH_000057-T1	neither
PHYBOEH_000058-T1	neither
PHYBOEH_000059-T1	neither
PHYBOEH_000060-T1	neither
PHYBOEH_000061-T1	neither
PHYBOEH_000062-T1	neither
PHYBOEH_000063-T1	neither
PHYBOEH_000064-T1	neither
PHYBOEH_000065-T1	neither
PHYBOEH_000066-T1	neither
PHYBOEH_000067-T1	neither
PHYBOEH_000068-T1	neither
PHYBOEH_000069-T1	neither
PHYBOEH_000070-T1	neither
PHYBOEH_000071-T1	neither
PHYBOEH_000072-T1	neither
PHYBOEH_000073-T1	neither
PHYBOEH_000074-T1	neither
PHYBOEH_000075-T1	neither
PHYBOEH_000076-T1	neither
PHYBOEH_000077-T1	neither
PHYBOEH_000078-T1	neither
PHYBOEH_000079-T1	neither
PHYBOEH_000080-T1	neither
PHYBOEH_000081-T1	neither
PHYBOEH_000082-T1	neither
PHYBOEH_000083-T1	neither
PHYBOEH_000084-T1	neither
PHYBOEH_000085-T1	neither
PHYBOEH_000086-T1	neither
PHYBOEH_000087-T1	neither
PHYBOEH_000088-T1	neither
PHYBOEH_000089-T1	neither
PHYBOEH_000090-T1	neither
PHYBOEH_000091-T1	neither
PHYBOEH_000092-T1	neither
PHYBOEH_000093-T1	neither
PHYBOEH_000094-T1	neither
PHYBOEH_000095-T1	neither
PHYBOEH_000096-T1	neither
PHYBOEH_000097-T1	neither
PHYBOEH_000098-T1	neither
PHYBOEH_000099-T1	neither
PHYBOEH_000100-T1	neither
PHYBOEH_000101-T1	neither
PHYBOEH_000102-T1	neither
PHYBOEH_000103-T1	neither
PHYBOEH_000104-T1	neither
PHYBOEH_000105-T1	neither
PHYBOEH_000106-T1	neither
PHYBOEH_000107-T1	neither
PHYBOEH_000108-T1	neither
PHYBOEH_000109-T1	neither
PHYBOEH_000110-T1	neither
PHYBOEH_000111-T1	neither
PHYBOEH_000112-T1	neither
PHYBOEH_000113-T1	neither
PHYBOEH_000114-T1	neither
PHYBOEH_000115-T1	neither
PHYBOEH_000116-T1	neither
PHYBOEH_000117-T1	neither
PHYBOEH_000118-T1	neither
PHYBOEH_000119-T1	neither
PHYBOEH_000120-T1	neither
PHYBOEH_000121-T1	neither
PHYBOEH_000122-T1	neither
PHYBOEH_000123-T1	neither
PHYBOEH_000124-T1	neither
PHYBOEH_000125-T1	neither
PHYBOEH_000126-T1	neither
PHYBOEH_000127-T1	neither
PHYBOEH_000128-T1	neither
PHYBOEH_000129-T1	neither
PHYBOEH_000130-T1	neither
PHYBOEH_000131-T1	neither
PHYBOEH_000132-T1	neither
