# BUSCO version is: 2.0 
# The lineage dataset is: alveolata_stramenophiles_ensembl (Creation date: 2016-11-15, number of species: 24, number of BUSCOs: 234)
# To reproduce this run: python /home/linuxbrew/funannotate/util/funannotate-BUSCO2.py -i /home/linuxbrew/data/palni/Phyalni/annotate_misc/genome.proteins.fasta -o busco -l /home/linuxbrew/data/databases/alveolata_stramenophiles/ -m proteins -c 4 -sp toxoplasma
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Complete	PHYBOEH_004915-T1	297.5	246
EPrGT00050000000134	Complete	PHYBOEH_004270-T1	233.5	171
EPrGT00050000000260	Complete	PHYBOEH_004311-T1	607.6	430
EPrGT00050000000311	Complete	PHYBOEH_002797-T1	500.0	432
EPrGT00050000000320	Complete	PHYBOEH_000284-T1	174.8	112
EPrGT00050000000355	Complete	PHYBOEH_007299-T1	738.1	648
EPrGT00050000000367	Complete	PHYBOEH_010297-T1	636.6	564
EPrGT00050000000428	Complete	PHYBOEH_008090-T1	353.4	296
EPrGT00050000000439	Missing
EPrGT00050000000453	Complete	PHYBOEH_002599-T1	887.2	696
EPrGT00050000000506	Complete	PHYBOEH_003395-T1	1012.8	817
EPrGT00050000000516	Complete	PHYBOEH_006900-T1	373.1	341
EPrGT00050000000547	Complete	PHYBOEH_006695-T1	606.2	484
EPrGT00050000000567	Complete	PHYBOEH_000643-T1	247.9	284
EPrGT00050000000570	Complete	PHYBOEH_009124-T1	869.3	774
EPrGT00050000000590	Complete	PHYBOEH_006809-T1	499.0	367
EPrGT00050000000597	Missing
EPrGT00050000000633	Missing
EPrGT00050000000638	Complete	PHYBOEH_010641-T1	555.7	424
EPrGT00050000000648	Complete	PHYBOEH_000190-T1	726.4	689
EPrGT00050000000656	Complete	PHYBOEH_003795-T1	299.5	381
EPrGT00050000000676	Missing
EPrGT00050000000764	Missing
EPrGT00050000000788	Complete	PHYBOEH_001519-T1	317.5	218
EPrGT00050000000790	Complete	PHYBOEH_001188-T1	318.1	240
EPrGT00050000000820	Complete	PHYBOEH_005117-T1	645.3	474
EPrGT00050000000821	Complete	PHYBOEH_007679-T1	396.6	386
EPrGT00050000000845	Complete	PHYBOEH_004567-T1	232.1	161
EPrGT00050000000974	Complete	PHYBOEH_010932-T1	487.6	440
EPrGT00050000000978	Complete	PHYBOEH_000466-T1	790.1	621
EPrGT00050000001072	Complete	PHYBOEH_000196-T1	1109.8	781
EPrGT00050000001214	Complete	PHYBOEH_011828-T1	379.0	368
EPrGT00050000001261	Complete	PHYBOEH_005161-T1	602.7	477
EPrGT00050000001319	Complete	PHYBOEH_006429-T1	498.3	260
EPrGT00050000001321	Complete	PHYBOEH_002402-T1	627.1	567
EPrGT00050000001331	Complete	PHYBOEH_010271-T1	441.9	344
EPrGT00050000001368	Complete	PHYBOEH_007102-T1	659.0	595
EPrGT00050000001398	Complete	PHYBOEH_008543-T1	338.4	287
EPrGT00050000001406	Complete	PHYBOEH_007926-T1	427.7	384
EPrGT00050000001412	Complete	PHYBOEH_010842-T1	4009.3	1995
EPrGT00050000001435	Complete	PHYBOEH_005464-T1	1022.0	797
EPrGT00050000001604	Complete	PHYBOEH_001802-T1	186.5	144
EPrGT00050000001796	Complete	PHYBOEH_005185-T1	265.9	252
EPrGT00050000001854	Complete	PHYBOEH_011826-T1	193.5	127
EPrGT00050000001855	Complete	PHYBOEH_011564-T1	457.5	366
EPrGT00050000001885	Complete	PHYBOEH_009128-T1	337.9	251
EPrGT00050000001927	Complete	PHYBOEH_006650-T1	310.2	237
EPrGT00050000001937	Complete	PHYBOEH_006349-T1	932.7	832
EPrGT00050000001969	Missing
EPrGT00050000002100	Complete	PHYBOEH_008422-T1	139.3	100
EPrGT00050000002128	Complete	PHYBOEH_011154-T1	1843.1	1422
EPrGT00050000002142	Complete	PHYBOEH_005598-T1	278.1	199
EPrGT00050000002199	Missing
EPrGT00050000002214	Complete	PHYBOEH_000603-T1	1211.6	886
EPrGT00050000002291	Complete	PHYBOEH_005106-T1	274.7	269
EPrGT00050000002346	Complete	PHYBOEH_000277-T1	303.5	253
