geneid	fiveprime	threeprime	Class
#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene	NA
PHYGONAP_000001	37	NA	NA
PHYGONAP_000002	620	37	NA
PHYGONAP_000003	4437	620	NA
PHYGONAP_000004	4456	4437	NA
PHYGONAP_000005	177	4456	NA
PHYGONAP_000006	640	177	NA
PHYGONAP_000007	168	640	NA
PHYGONAP_000008	655	168	NA
PHYGONAP_000009	158	655	NA
PHYGONAP_000010	188	158	NA
PHYGONAP_000011	183	188	NA
PHYGONAP_000012	176	183	NA
PHYGONAP_000013	134	176	NA
PHYGONAP_000014	173	134	NA
PHYGONAP_000015	1669	173	NA
PHYGONAP_000016	168	1669	NA
PHYGONAP_000017	1545	168	NA
PHYGONAP_000018	160	1545	NA
PHYGONAP_000019	325	160	NA
PHYGONAP_000020	705	325	NA
PHYGONAP_000021	252	705	NA
PHYGONAP_000022	164	252	NA
PHYGONAP_000023	193	164	NA
PHYGONAP_000024	67	193	NA
PHYGONAP_000025	120	67	NA
PHYGONAP_000026	889	120	NA
PHYGONAP_000027	NA	889	BUSCO
PHYGONAP_007794	5	NA	NA
PHYGONAP_007795	185	5	NA
PHYGONAP_007796	1194	185	NA
PHYGONAP_007797	2229	1194	NA
PHYGONAP_007798	459	2229	NA
PHYGONAP_007799	970	459	NA
PHYGONAP_007800	1022	970	NA
PHYGONAP_007801	5216	1022	NA
PHYGONAP_007802	204	5216	NA
PHYGONAP_007803	115	204	NA
PHYGONAP_007804	61	115	RXLR
PHYGONAP_007805	664	61	NA
PHYGONAP_007806	148	664	NA
PHYGONAP_007807	1962	148	NA
PHYGONAP_007808	6	1962	NA
PHYGONAP_007809	202	6	NA
PHYGONAP_007810	140	202	RXLR
PHYGONAP_007811	1767	140	NA
PHYGONAP_007812	187	1767	NA
PHYGONAP_007813	574	187	NA
PHYGONAP_007814	272	574	NA
PHYGONAP_007815	204	272	BUSCO
PHYGONAP_007816	80	204	NA
PHYGONAP_007817	544	80	NA
PHYGONAP_007818	575	544	NA
PHYGONAP_007819	NA	575	NA
PHYGONAP_011953	119	NA	NA
PHYGONAP_011954	1156	119	NA
PHYGONAP_011955	486	1156	NA
PHYGONAP_011956	142	486	NA
PHYGONAP_011957	155	142	NA
PHYGONAP_011958	100	155	NA
PHYGONAP_011959	385	100	NA
PHYGONAP_011960	1326	385	NA
PHYGONAP_011961	1989	1326	NA
PHYGONAP_011962	666	1989	NA
PHYGONAP_011963	170	666	NA
PHYGONAP_011964	292	170	NA
PHYGONAP_011965	150	292	NA
PHYGONAP_011966	99	150	NA
PHYGONAP_011967	941	99	NA
PHYGONAP_011968	365	941	NA
PHYGONAP_011969	216	365	NA
PHYGONAP_011970	289	216	NA
PHYGONAP_011971	116	289	NA
PHYGONAP_011972	1074	116	NA
PHYGONAP_011973	NA	1074	NA
PHYGONAP_014768	19087	NA	NA
PHYGONAP_014769	7544	19087	NA
PHYGONAP_014770	NA	7544	NA
PHYGONAP_016890	2513	NA	NA
PHYGONAP_016891	246	2513	NA
PHYGONAP_016892	817	246	NA
PHYGONAP_016893	2342	817	NA
PHYGONAP_016894	515	2342	NA
PHYGONAP_016895	432	515	NA
PHYGONAP_016896	218	432	NA
PHYGONAP_016897	1211	218	NA
PHYGONAP_016898	852	1211	NA
PHYGONAP_016899	57	852	NA
PHYGONAP_016900	117	57	NA
PHYGONAP_016901	1931	117	NA
PHYGONAP_016902	8264	1931	NA
PHYGONAP_016903	NA	8264	NA
PHYGONAP_018695	9352	NA	NA
PHYGONAP_018696	75	9352	NA
PHYGONAP_018697	351	75	NA
PHYGONAP_018698	289	351	NA
PHYGONAP_018699	227	289	NA
PHYGONAP_018700	441	227	NA
PHYGONAP_018701	860	441	NA
PHYGONAP_018702	1178	860	NA
PHYGONAP_018703	746	1178	NA
PHYGONAP_018704	123	746	NA
PHYGONAP_018705	1694	123	NA
PHYGONAP_018706	680	1694	NA
PHYGONAP_018707	5823	680	NA
PHYGONAP_018708	1248	5823	NA
PHYGONAP_018709	NA	1248	NA
PHYGONAP_020316	975	NA	NA
PHYGONAP_020317	309	975	NA
PHYGONAP_020318	1194	309	NA
PHYGONAP_020319	759	1194	NA
PHYGONAP_020320	1897	759	NA
PHYGONAP_020321	239	1897	NA
PHYGONAP_020322	461	239	NA
PHYGONAP_020323	309	461	NA
PHYGONAP_020324	153	309	NA
PHYGONAP_020325	265	153	NA
PHYGONAP_020326	323	265	NA
PHYGONAP_020327	7075	323	NA
PHYGONAP_020328	4723	7075	NA
PHYGONAP_020329	NA	4723	NA
PHYGONAP_021749	2473	NA	NA
PHYGONAP_021750	29855	2473	NA
PHYGONAP_021751	3426	29855	NA
PHYGONAP_021752	170	3426	NA
PHYGONAP_021753	371	170	NA
PHYGONAP_021754	227	371	NA
PHYGONAP_021755	86	227	NA
PHYGONAP_021756	NA	86	NA
PHYGONAP_023084	321	NA	NA
PHYGONAP_023085	419	321	NA
PHYGONAP_023086	233	419	NA
PHYGONAP_023087	219	233	BUSCO
PHYGONAP_023088	524	219	NA
PHYGONAP_023089	277	524	NA
PHYGONAP_023090	539	277	NA
PHYGONAP_023091	268	539	NA
PHYGONAP_023092	199	268	NA
PHYGONAP_023093	627	199	NA
PHYGONAP_023094	600	627	NA
PHYGONAP_023095	157	600	BUSCO
PHYGONAP_023096	616	157	NA
PHYGONAP_023097	319	616	NA
PHYGONAP_023098	135	319	NA
PHYGONAP_023099	434	135	NA
PHYGONAP_023100	1378	434	NA
PHYGONAP_023101	400	1378	NA
PHYGONAP_023102	455	400	NA
PHYGONAP_023103	267	455	NA
PHYGONAP_023104	92	267	NA
PHYGONAP_023105	NA	92	NA
PHYGONAP_000028	13358	NA	NA
PHYGONAP_000029	16755	13358	NA
PHYGONAP_000030	1914	16755	NA
PHYGONAP_000031	183	1914	NA
PHYGONAP_000032	798	183	NA
PHYGONAP_000033	7	798	NA
PHYGONAP_000034	292	7	NA
PHYGONAP_000035	900	292	NA
PHYGONAP_000036	1259	900	NA
PHYGONAP_000037	1075	1259	NA
PHYGONAP_000038	850	1075	NA
PHYGONAP_000039	1015	850	NA
PHYGONAP_000040	756	1015	NA
PHYGONAP_000041	NA	756	NA
PHYGONAP_001042	NA	NA	NA
PHYGONAP_002066	2157	NA	NA
PHYGONAP_002067	2539	2157	NA
PHYGONAP_002068	1294	2539	NA
PHYGONAP_002069	713	1294	NA
PHYGONAP_002070	235	713	BUSCO
PHYGONAP_002071	32	235	NA
PHYGONAP_002072	113	32	NA
PHYGONAP_002073	107	113	NA
PHYGONAP_002074	204	107	NA
PHYGONAP_002075	255	204	NA
PHYGONAP_002076	101	255	NA
PHYGONAP_002077	861	101	NA
PHYGONAP_002078	4000	861	NA
PHYGONAP_002079	25	4000	NA
PHYGONAP_002080	117	25	NA
PHYGONAP_002081	143	117	NA
PHYGONAP_002082	1078	143	NA
PHYGONAP_002083	169	1078	NA
PHYGONAP_002084	207	169	NA
PHYGONAP_002085	221	207	NA
PHYGONAP_002086	439	221	NA
PHYGONAP_002087	NA	439	NA
PHYGONAP_002991	193	NA	NA
PHYGONAP_002992	956	193	NA
PHYGONAP_002993	124	956	NA
PHYGONAP_002994	1699	124	NA
PHYGONAP_002995	4800	1699	NA
PHYGONAP_002996	618	4800	NA
PHYGONAP_002997	316	618	NA
PHYGONAP_002998	547	316	NA
PHYGONAP_002999	143	547	NA
PHYGONAP_003000	148	143	NA
PHYGONAP_003001	335	148	NA
PHYGONAP_003002	207	335	NA
PHYGONAP_003003	339	207	NA
PHYGONAP_003004	NA	339	NA
PHYGONAP_003813	891	NA	NA
PHYGONAP_003814	189	891	NA
PHYGONAP_003815	586	189	NA
PHYGONAP_003816	588	586	NA
PHYGONAP_003817	189	588	NA
PHYGONAP_003818	222	189	NA
PHYGONAP_003819	215	222	NA
PHYGONAP_003820	757	215	NA
PHYGONAP_003821	108	757	NA
PHYGONAP_003822	212	108	NA
PHYGONAP_003823	489	212	NA
PHYGONAP_003824	187	489	NA
PHYGONAP_003825	11633	187	NA
PHYGONAP_003826	1207	11633	NA
PHYGONAP_003827	533	1207	NA
PHYGONAP_003828	574	533	NA
PHYGONAP_003829	854	574	NA
PHYGONAP_003830	NA	854	NA
PHYGONAP_004598	126	NA	NA
PHYGONAP_004599	256	126	NA
PHYGONAP_004600	312	256	NA
PHYGONAP_004601	2893	312	NA
PHYGONAP_004602	649	2893	NA
PHYGONAP_004603	263	649	NA
PHYGONAP_004604	207	263	NA
PHYGONAP_004605	613	207	NA
PHYGONAP_004606	515	613	NA
PHYGONAP_004607	260	515	NA
PHYGONAP_004608	460	260	NA
PHYGONAP_004609	634	460	NA
PHYGONAP_004610	508	634	NA
PHYGONAP_004611	761	508	NA
PHYGONAP_004612	1020	761	NA
PHYGONAP_004613	556	1020	NA
PHYGONAP_004614	776	556	NA
PHYGONAP_004615	1640	776	NA
PHYGONAP_004616	599	1640	NA
PHYGONAP_004617	704	599	NA
PHYGONAP_004618	2730	704	NA
PHYGONAP_004619	84	2730	RXLR
PHYGONAP_004620	NA	84	NA
PHYGONAP_005279	997	NA	NA
PHYGONAP_005280	225	997	NA
PHYGONAP_005281	26539	225	NA
PHYGONAP_005282	NA	26539	NA
PHYGONAP_005939	174	NA	NA
PHYGONAP_005940	107	174	NA
PHYGONAP_005941	10	107	NA
PHYGONAP_005942	256	10	NA
PHYGONAP_005943	210	256	NA
PHYGONAP_005944	171	210	NA
PHYGONAP_005945	131	171	NA
PHYGONAP_005946	191	131	NA
PHYGONAP_005947	279	191	NA
PHYGONAP_005948	101	279	NA
PHYGONAP_005949	271	101	NA
PHYGONAP_005950	195	271	BUSCO
PHYGONAP_005951	1773	195	NA
PHYGONAP_005952	278	1773	NA
PHYGONAP_005953	223	278	NA
PHYGONAP_005954	138	223	NA
PHYGONAP_005955	1072	138	NA
PHYGONAP_005956	126	1072	NA
PHYGONAP_005957	4	126	NA
PHYGONAP_005958	154	4	NA
PHYGONAP_005959	850	154	NA
PHYGONAP_005960	183	850	NA
PHYGONAP_005961	137	183	NA
PHYGONAP_005962	298	137	NA
PHYGONAP_005963	102	298	NA
PHYGONAP_005964	NA	102	RXLR
PHYGONAP_006660	6218	NA	NA
PHYGONAP_006661	322	6218	NA
PHYGONAP_006662	26993	322	NA
PHYGONAP_006663	NA	26993	NA
PHYGONAP_007241	750	NA	NA
PHYGONAP_007242	48	750	NA
PHYGONAP_007243	2113	48	NA
PHYGONAP_007244	200	2113	NA
PHYGONAP_007245	817	200	NA
PHYGONAP_007246	619	817	NA
PHYGONAP_007247	198	619	NA
PHYGONAP_007248	281	198	NA
PHYGONAP_007249	320	281	NA
PHYGONAP_007250	286	320	NA
PHYGONAP_007251	156	286	NA
PHYGONAP_007252	143	156	NA
PHYGONAP_007253	71	143	NA
PHYGONAP_007254	587	71	NA
PHYGONAP_007255	309	587	NA
PHYGONAP_007256	508	309	NA
PHYGONAP_007257	638	508	NA
PHYGONAP_007258	1918	638	NA
PHYGONAP_007259	NA	1918	NA
PHYGONAP_007820	1538	NA	NA
PHYGONAP_007821	87	1538	NA
PHYGONAP_007822	12929	87	NA
PHYGONAP_007823	NA	12929	NA
PHYGONAP_008356	5708	NA	NA
PHYGONAP_008357	1089	5708	NA
PHYGONAP_008358	1300	1089	NA
PHYGONAP_008359	NA	1300	NA
PHYGONAP_008865	163	NA	NA
PHYGONAP_008866	104	163	NA
PHYGONAP_008867	789	104	NA
PHYGONAP_008868	165	789	NA
PHYGONAP_008869	713	165	NA
PHYGONAP_008870	135	713	NA
PHYGONAP_008871	480	135	NA
PHYGONAP_008872	136	480	NA
PHYGONAP_008873	302	136	NA
PHYGONAP_008874	114	302	NA
PHYGONAP_008875	194	114	NA
PHYGONAP_008876	222	194	NA
PHYGONAP_008877	190	222	NA
PHYGONAP_008878	189	190	NA
PHYGONAP_008879	446	189	NA
PHYGONAP_008880	1591	446	NA
PHYGONAP_008881	112	1591	NA
PHYGONAP_008882	1159	112	BUSCO
PHYGONAP_008883	101	1159	NA
PHYGONAP_008884	NA	101	NA
PHYGONAP_009292	22858	NA	NA
PHYGONAP_009293	NA	22858	NA
PHYGONAP_009702	40	NA	NA
PHYGONAP_009703	171	40	NA
PHYGONAP_009704	1238	171	NA
PHYGONAP_009705	167	1238	NA
PHYGONAP_009706	232	167	NA
PHYGONAP_009707	272	232	NA
PHYGONAP_009708	3910	272	NA
PHYGONAP_009709	1604	3910	NA
PHYGONAP_009710	137	1604	NA
PHYGONAP_009711	223	137	NA
PHYGONAP_009712	428	223	NA
PHYGONAP_009713	396	428	NA
PHYGONAP_009714	917	396	NA
PHYGONAP_009715	371	917	NA
PHYGONAP_009716	181	371	NA
PHYGONAP_009717	174	181	NA
PHYGONAP_009718	NA	174	NA
PHYGONAP_010123	19792	NA	NA
PHYGONAP_010124	200	19792	NA
PHYGONAP_010125	8619	200	NA
PHYGONAP_010126	8510	8619	NA
PHYGONAP_010127	92	8510	NA
PHYGONAP_010128	NA	92	NA
PHYGONAP_010523	418	NA	NA
PHYGONAP_010524	6110	418	NA
PHYGONAP_010525	18970	6110	NA
PHYGONAP_010526	294	18970	NA
PHYGONAP_010527	112	294	NA
PHYGONAP_010528	525	112	NA
PHYGONAP_010529	NA	525	NA
PHYGONAP_010891	35597	NA	NA
PHYGONAP_010892	NA	35597	NA
PHYGONAP_011244	3434	NA	NA
PHYGONAP_011245	4119	3434	NA
PHYGONAP_011246	8792	4119	NA
PHYGONAP_011247	1526	8792	NA
PHYGONAP_011248	912	1526	NA
PHYGONAP_011249	NA	912	NA
PHYGONAP_011584	5611	NA	NA
PHYGONAP_011585	519	5611	NA
PHYGONAP_011586	19961	519	NA
PHYGONAP_011587	811	19961	NA
PHYGONAP_011588	2082	811	NA
PHYGONAP_011589	1459	2082	NA
PHYGONAP_011590	759	1459	NA
PHYGONAP_011591	NA	759	NA
PHYGONAP_011974	194	NA	NA
PHYGONAP_011975	1175	194	NA
PHYGONAP_011976	65	1175	NA
PHYGONAP_011977	204	65	NA
PHYGONAP_011978	645	204	NA
PHYGONAP_011979	284	645	NA
PHYGONAP_011980	1846	284	NA
PHYGONAP_011981	1729	1846	NA
PHYGONAP_011982	140	1729	BUSCO
PHYGONAP_011983	14575	140	NA
PHYGONAP_011984	304	14575	NA
PHYGONAP_011985	180	304	NA
PHYGONAP_011986	NA	180	NA
PHYGONAP_012297	2	NA	NA
PHYGONAP_012298	5399	2	NA
PHYGONAP_012299	13	5399	NA
PHYGONAP_012300	31	13	NA
PHYGONAP_012301	11	31	NA
PHYGONAP_012302	14	11	NA
PHYGONAP_012303	937	14	NA
PHYGONAP_012304	86	937	NA
PHYGONAP_012305	18	86	NA
PHYGONAP_012306	2670	18	NA
PHYGONAP_012307	5409	2670	NA
PHYGONAP_012308	3538	5409	NA
PHYGONAP_012309	3200	3538	NA
PHYGONAP_012310	3	3200	NA
PHYGONAP_012311	3	3	NA
PHYGONAP_012312	5	3	NA
PHYGONAP_012313	350	5	NA
PHYGONAP_012314	3842	350	NA
PHYGONAP_012315	52	3842	NA
PHYGONAP_012316	185	52	NA
PHYGONAP_012317	1532	185	NA
PHYGONAP_012318	5921	1532	NA
PHYGONAP_012319	3959	5921	NA
PHYGONAP_012320	8	3959	NA
PHYGONAP_012321	974	8	NA
PHYGONAP_012322	6	974	NA
PHYGONAP_012323	3156	6	NA
PHYGONAP_012324	NA	3156	NA
PHYGONAP_012608	7983	NA	NA
PHYGONAP_012609	NA	7983	NA
PHYGONAP_012917	100	NA	NA
PHYGONAP_012918	222	100	NA
PHYGONAP_012919	530	222	NA
PHYGONAP_012920	2573	530	NA
PHYGONAP_012921	298	2573	NA
PHYGONAP_012922	254	298	NA
PHYGONAP_012923	181	254	NA
PHYGONAP_012924	295	181	NA
PHYGONAP_012925	3183	295	NA
PHYGONAP_012926	420	3183	NA
PHYGONAP_012927	865	420	NA
PHYGONAP_012928	464	865	NA
PHYGONAP_012929	128	464	NA
PHYGONAP_012930	NA	128	NA
PHYGONAP_013196	415	NA	NA
PHYGONAP_013197	459	415	NA
PHYGONAP_013198	129	459	NA
PHYGONAP_013199	63	129	NA
PHYGONAP_013200	2357	63	NA
PHYGONAP_013201	17540	2357	NA
PHYGONAP_013202	NA	17540	NA
PHYGONAP_013478	15151	NA	NA
