#ID	Bhattacharjee2006
PHYGONAP_000001-T1	N
PHYGONAP_000002-T1	N
PHYGONAP_000003-T1	N
PHYGONAP_000004-T1	N
PHYGONAP_000005-T1	N
PHYGONAP_000006-T1	N
PHYGONAP_000007-T1	N
PHYGONAP_000008-T1	N
PHYGONAP_000009-T1	N
PHYGONAP_000010-T1	N
PHYGONAP_000011-T1	N
PHYGONAP_000012-T1	N
PHYGONAP_000013-T1	N
PHYGONAP_000014-T1	N
PHYGONAP_000015-T1	N
PHYGONAP_000016-T1	N
PHYGONAP_000017-T1	N
PHYGONAP_000018-T1	N
PHYGONAP_000019-T1	N
PHYGONAP_000020-T1	N
PHYGONAP_000021-T1	N
PHYGONAP_000022-T1	N
PHYGONAP_000023-T1	N
PHYGONAP_000024-T1	N
PHYGONAP_000025-T1	N
PHYGONAP_000026-T1	N
PHYGONAP_000027-T1	N
PHYGONAP_000028-T1	N
PHYGONAP_000029-T1	N
PHYGONAP_000030-T1	N
PHYGONAP_000031-T1	N
PHYGONAP_000032-T1	N
PHYGONAP_000033-T1	N
PHYGONAP_000034-T1	N
PHYGONAP_000035-T1	N
PHYGONAP_000036-T1	N
PHYGONAP_000037-T1	N
PHYGONAP_000038-T1	N
PHYGONAP_000039-T1	N
PHYGONAP_000040-T1	N
PHYGONAP_000041-T1	N
PHYGONAP_000042-T1	N
PHYGONAP_000043-T1	N
PHYGONAP_000044-T1	N
PHYGONAP_000045-T1	N
PHYGONAP_000046-T1	N
PHYGONAP_000047-T1	N
PHYGONAP_000048-T1	N
PHYGONAP_000049-T1	N
PHYGONAP_000050-T1	N
PHYGONAP_000051-T1	N
PHYGONAP_000052-T1	N
PHYGONAP_000053-T1	N
PHYGONAP_000054-T1	N
PHYGONAP_000055-T1	N
PHYGONAP_000056-T1	N
PHYGONAP_000057-T1	N
PHYGONAP_000058-T1	N
PHYGONAP_000059-T1	N
PHYGONAP_000060-T1	N
PHYGONAP_000061-T1	N
PHYGONAP_000062-T1	N
PHYGONAP_000063-T1	N
PHYGONAP_000064-T1	N
PHYGONAP_000065-T1	N
PHYGONAP_000066-T1	N
PHYGONAP_000067-T1	N
PHYGONAP_000068-T1	N
PHYGONAP_000069-T1	N
PHYGONAP_000070-T1	N
PHYGONAP_000071-T1	N
PHYGONAP_000072-T1	N
PHYGONAP_000073-T1	N
PHYGONAP_000074-T1	N
PHYGONAP_000075-T1	N
PHYGONAP_000076-T1	N
PHYGONAP_000077-T1	N
PHYGONAP_000078-T1	N
PHYGONAP_000079-T1	N
PHYGONAP_000080-T1	N
PHYGONAP_000081-T1	N
PHYGONAP_000082-T1	N
PHYGONAP_000083-T1	N
PHYGONAP_000084-T1	N
PHYGONAP_000085-T1	N
PHYGONAP_000086-T1	N
PHYGONAP_000087-T1	N
PHYGONAP_000088-T1	N
PHYGONAP_000089-T1	N
PHYGONAP_000090-T1	N
PHYGONAP_000091-T1	N
PHYGONAP_000092-T1	N
PHYGONAP_000093-T1	N
PHYGONAP_000094-T1	N
PHYGONAP_000095-T1	N
PHYGONAP_000096-T1	N
PHYGONAP_000097-T1	N
PHYGONAP_000098-T1	N
PHYGONAP_000099-T1	N
PHYGONAP_000100-T1	N
PHYGONAP_000101-T1	N
PHYGONAP_000102-T1	N
PHYGONAP_000103-T1	N
PHYGONAP_000104-T1	N
PHYGONAP_000105-T1	N
PHYGONAP_000106-T1	N
PHYGONAP_000107-T1	N
PHYGONAP_000108-T1	N
PHYGONAP_000109-T1	N
PHYGONAP_000110-T1	N
PHYGONAP_000111-T1	N
PHYGONAP_000112-T1	N
PHYGONAP_000113-T1	N
PHYGONAP_000114-T1	N
PHYGONAP_000115-T1	N
PHYGONAP_000116-T1	N
PHYGONAP_000117-T1	N
PHYGONAP_000118-T1	N
PHYGONAP_000119-T1	N
PHYGONAP_000120-T1	N
PHYGONAP_000121-T1	N
PHYGONAP_000122-T1	N
PHYGONAP_000123-T1	N
PHYGONAP_000124-T1	N
PHYGONAP_000125-T1	N
PHYGONAP_000126-T1	N
PHYGONAP_000127-T1	N
PHYGONAP_000128-T1	N
PHYGONAP_000129-T1	N
PHYGONAP_000130-T1	N
