geneid	fiveprime	threeprime	Class
PHYPSUEDO_000001	1207	NA	NA
PHYPSUEDO_000002	291	1207	NA
PHYPSUEDO_000003	627	291	NA
PHYPSUEDO_000004	894	627	NA
PHYPSUEDO_000005	269	894	NA
PHYPSUEDO_000006	289	269	NA
PHYPSUEDO_000007	2558	289	NA
PHYPSUEDO_000008	159	2558	NA
PHYPSUEDO_000009	120	159	NA
PHYPSUEDO_000010	175	120	NA
PHYPSUEDO_000011	893	175	NA
PHYPSUEDO_000012	71	893	NA
PHYPSUEDO_000013	212	71	NA
PHYPSUEDO_000014	1612	212	NA
PHYPSUEDO_000015	874	1612	NA
PHYPSUEDO_000016	107	874	NA
PHYPSUEDO_000017	62	107	NA
PHYPSUEDO_000018	635	62	NA
PHYPSUEDO_000019	390	635	NA
PHYPSUEDO_000020	388	390	NA
PHYPSUEDO_000021	176	388	NA
PHYPSUEDO_000022	217	176	NA
PHYPSUEDO_000023	340	217	NA
PHYPSUEDO_000024	590	340	NA
PHYPSUEDO_000025	1260	590	NA
PHYPSUEDO_000026	2986	1260	NA
PHYPSUEDO_000027	5573	2986	NA
PHYPSUEDO_000028	2146	5573	NA
PHYPSUEDO_000029	361	2146	NA
PHYPSUEDO_000030	365	361	NA
PHYPSUEDO_000031	1391	365	NA
PHYPSUEDO_000032	630	1391	NA
PHYPSUEDO_000033	208	630	NA
PHYPSUEDO_000034	249	208	NA
PHYPSUEDO_000035	403	249	NA
PHYPSUEDO_000036	152	403	NA
PHYPSUEDO_000037	174	152	NA
PHYPSUEDO_000038	131	174	NA
PHYPSUEDO_000039	153	131	NA
PHYPSUEDO_000040	143	153	NA
PHYPSUEDO_000041	246	143	NA
PHYPSUEDO_000042	1101	246	NA
PHYPSUEDO_000043	127	1101	NA
PHYPSUEDO_000044	831	127	NA
PHYPSUEDO_000045	90	831	NA
PHYPSUEDO_000046	635	90	NA
PHYPSUEDO_000047	1126	635	NA
PHYPSUEDO_000048	407	1126	NA
PHYPSUEDO_000049	170	407	NA
PHYPSUEDO_000050	612	170	NA
PHYPSUEDO_000051	198	612	NA
PHYPSUEDO_000052	19	198	NA
PHYPSUEDO_000053	1449	19	NA
PHYPSUEDO_000054	422	1449	NA
PHYPSUEDO_000055	221	422	NA
PHYPSUEDO_000056	26	221	NA
PHYPSUEDO_000057	200	26	NA
PHYPSUEDO_000058	112	200	NA
PHYPSUEDO_000059	253	112	NA
PHYPSUEDO_000060	282	253	NA
PHYPSUEDO_000061	341	282	NA
PHYPSUEDO_000062	380	341	NA
PHYPSUEDO_000063	193	380	NA
PHYPSUEDO_000064	376	193	NA
PHYPSUEDO_000065	1176	376	NA
PHYPSUEDO_000066	43	1176	NA
PHYPSUEDO_000067	1362	43	NA
PHYPSUEDO_000068	980	1362	NA
PHYPSUEDO_000069	81	980	NA
PHYPSUEDO_000070	12082	81	NA
PHYPSUEDO_000071	784	12082	NA
PHYPSUEDO_000072	42	784	NA
PHYPSUEDO_000073	180	42	NA
PHYPSUEDO_000074	107	180	NA
PHYPSUEDO_000075	1541	107	NA
PHYPSUEDO_000076	312	1541	NA
PHYPSUEDO_000077	264	312	NA
PHYPSUEDO_000078	314	264	NA
PHYPSUEDO_000079	161	314	NA
PHYPSUEDO_000080	123	161	NA
PHYPSUEDO_000081	187	123	NA
PHYPSUEDO_000082	511	187	NA
PHYPSUEDO_000083	105	511	NA
PHYPSUEDO_000084	328	105	NA
PHYPSUEDO_000085	527	328	NA
PHYPSUEDO_000086	93	527	NA
PHYPSUEDO_000087	213	93	NA
PHYPSUEDO_000088	141	213	NA
PHYPSUEDO_000089	773	141	NA
