geneid	fiveprime	threeprime	Class
#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene	NA
PHYBOEH_000001	383	NA	NA
PHYBOEH_000002	20879	383	NA
PHYBOEH_000003	10389	20879	NA
PHYBOEH_000004	138	10389	NA
PHYBOEH_000005	237	138	NA
PHYBOEH_000006	286	237	NA
PHYBOEH_000007	20694	286	NA
PHYBOEH_000008	148	20694	NA
PHYBOEH_000009	1026	148	BUSCO
PHYBOEH_000010	96	1026	NA
PHYBOEH_000011	130	96	NA
PHYBOEH_000012	210	130	NA
PHYBOEH_000013	826	210	NA
PHYBOEH_000014	1577	826	NA
PHYBOEH_000015	3982	1577	NA
PHYBOEH_000016	5070	3982	RXLR
PHYBOEH_000017	5762	5070	NA
PHYBOEH_000018	101	5762	NA
PHYBOEH_000019	244	101	NA
PHYBOEH_000020	82	244	NA
PHYBOEH_000021	179	82	NA
PHYBOEH_000022	230	179	NA
PHYBOEH_000023	3000	230	NA
PHYBOEH_000024	114	3000	NA
PHYBOEH_000025	308	114	NA
PHYBOEH_000026	8563	308	NA
PHYBOEH_000027	549	8563	NA
PHYBOEH_000028	279	549	NA
PHYBOEH_000029	4107	279	NA
PHYBOEH_000030	223	4107	NA
PHYBOEH_000031	301	223	NA
PHYBOEH_000032	2271	301	NA
PHYBOEH_000033	117	2271	NA
PHYBOEH_000034	514	117	NA
PHYBOEH_000035	1171	514	NA
PHYBOEH_000036	315	1171	NA
PHYBOEH_000037	196	315	NA
PHYBOEH_000038	375	196	NA
PHYBOEH_000039	75	375	NA
PHYBOEH_000040	295	75	NA
PHYBOEH_000041	727	295	NA
PHYBOEH_000042	134	727	NA
PHYBOEH_000043	684	134	NA
PHYBOEH_000044	176	684	NA
PHYBOEH_000045	589	176	NA
PHYBOEH_000046	1444	589	NA
PHYBOEH_000047	137	1444	NA
PHYBOEH_000048	165	137	NA
PHYBOEH_000049	392	165	NA
PHYBOEH_000050	446	392	NA
PHYBOEH_000051	138	446	NA
PHYBOEH_000052	747	138	NA
PHYBOEH_000053	1285	747	NA
PHYBOEH_000054	180	1285	NA
PHYBOEH_000055	139	180	NA
PHYBOEH_000056	146	139	NA
PHYBOEH_000057	3601	146	NA
PHYBOEH_000058	505	3601	NA
PHYBOEH_000059	346	505	NA
PHYBOEH_000060	163	346	NA
PHYBOEH_000061	289	163	NA
PHYBOEH_000062	1045	289	NA
PHYBOEH_000063	78	1045	NA
PHYBOEH_000064	303	78	NA
PHYBOEH_000065	2546	303	NA
PHYBOEH_000066	125	2546	NA
PHYBOEH_000067	10	125	NA
PHYBOEH_000068	375	10	NA
PHYBOEH_000069	889	375	NA
PHYBOEH_000070	2149	889	NA
PHYBOEH_000071	5352	2149	NA
PHYBOEH_000072	227	5352	NA
PHYBOEH_000073	364	227	NA
PHYBOEH_000074	493	364	NA
PHYBOEH_000075	9148	493	NA
PHYBOEH_000076	338	9148	NA
PHYBOEH_000077	164	338	NA
PHYBOEH_000078	237	164	NA
PHYBOEH_000079	609	237	NA
PHYBOEH_000080	126	609	NA
PHYBOEH_000081	4656	126	NA
PHYBOEH_000082	108	4656	NA
PHYBOEH_000083	97	108	NA
PHYBOEH_000084	5745	97	NA
PHYBOEH_000085	124	5745	NA
PHYBOEH_000086	144	124	NA
PHYBOEH_000087	139	144	NA
PHYBOEH_000088	262	139	RXLR
PHYBOEH_000089	595	262	NA
PHYBOEH_000090	244	595	NA
PHYBOEH_000091	176	244	NA
PHYBOEH_000092	137	176	NA
PHYBOEH_000093	39	137	NA
PHYBOEH_000094	161	39	NA
PHYBOEH_000095	240	161	NA
PHYBOEH_000096	158	240	NA
PHYBOEH_000097	167	158	NA
PHYBOEH_000098	2117	167	NA
PHYBOEH_000099	253	2117	NA
PHYBOEH_000100	2549	253	NA
PHYBOEH_000101	232	2549	NA
PHYBOEH_000102	1093	232	NA
PHYBOEH_000103	203	1093	NA
PHYBOEH_000104	96	203	NA
PHYBOEH_000105	4911	96	NA
PHYBOEH_000106	640	4911	NA
PHYBOEH_000107	NA	640	NA
PHYBOEH_003471	3197	NA	NA
PHYBOEH_003472	1905	3197	NA
PHYBOEH_003473	28299	1905	NA
PHYBOEH_003474	193	28299	NA
PHYBOEH_003475	324	193	NA
PHYBOEH_003476	696	324	NA
PHYBOEH_003477	611	696	NA
PHYBOEH_003478	339	611	NA
PHYBOEH_003479	2681	339	NA
PHYBOEH_003480	612	2681	NA
PHYBOEH_003481	251	612	NA
PHYBOEH_003482	138	251	NA
PHYBOEH_003483	475	138	NA
PHYBOEH_003484	213	475	NA
PHYBOEH_003485	142	213	NA
PHYBOEH_003486	103	142	NA
PHYBOEH_003487	778	103	NA
PHYBOEH_003488	4697	778	NA
PHYBOEH_003489	1162	4697	NA
PHYBOEH_003490	4960	1162	NA
PHYBOEH_003491	371	4960	NA
PHYBOEH_003492	2450	371	NA
